texto,lat,lon,nombre
"1 Calle del Marqués de la Valdavia, Alcobendas, 28100",40.5487326,-3.662278,"1 Calle del Marqués de la Valdavia, Alcobendas, 28100"
"Hospital Infanta Sofía, San Sebastián de los Reyes, 28702",40.5598448,-3.6115488,"Hospital Infanta Sofía, San Sebastián de los Reyes, 28702"
"Vía Sin Nombre, San Sebastián de los Reyes, 28703",40.5473698,-3.6260586,"Vía Sin Nombre, San Sebastián de los Reyes, 28703"
"Alfonso XII 62, Calle de Alfonso XII, Madrid, España",40.4084585,-3.6890537,"Alfonso XII 62, Calle de Alfonso XII, Madrid, España"
"Calle de Alfonso XII, 62, Madrid, España",40.4084585,-3.6890537,"Calle de Alfonso XII, 62, Madrid, España"
"10 Blvr. de Salvador Allende, Alcobendas, 28108",40.5376687,-3.6344164,"10 Blvr. de Salvador Allende, Alcobendas, 28108"
"s/n C. Luis Pasteur, San Sebastián de los Reyes, 28703",37.6064797,-0.9738464,"s/n C. Luis Pasteur, San Sebastián de los Reyes, 28703"
"10 Calle de Anabel Segura, Alcobendas, 28108",40.534503,-3.6276173,"10 Calle de Anabel Segura, Alcobendas, 28108"
"5 Av. de Matapiñonera, San Sebastián de los Reyes, 28703",40.5850117,-3.65428,"5 Av. de Matapiñonera, San Sebastián de los Reyes, 28703"
"21 Avenida de Bruselas, Alcobendas, 28108",40.5301383,-3.6389688,"21 Avenida de Bruselas, Alcobendas, 28108"
"AEROPUERTO T4, 28042",40.4923948,-3.593248,"AEROPUERTO T4, 28042"
"s/n Av. del Camino de lo Cortao, San Sebastián de los Reyes, 28703",40.5473698,-3.6260586,"s/n Av. del Camino de lo Cortao, San Sebastián de los Reyes, 28703"
"22 Av. de la Vega, Alcobendas, 28108",40.534327,-3.6341993,"22 Av. de la Vega, Alcobendas, 28108"
"4 Avda. Fernando Alonso, Madrid, 28108",40.5343799,-3.6183798,"4 Avda. Fernando Alonso, Madrid, 28108"
"Carrefour Property España, Campus Omega, Campus Omega, Av. de la Transición Española, 36, Edificio E, 4ª Planta, 28108 Alcobendas, Madrid",43.274458,-5.7224423,"Carrefour Property España, Campus Omega, Campus Omega, Av. de la Transición Española, 36, Edificio E, 4ª Planta, 28108 Alcobendas, Madrid"
"2 Calle del Marqués de la Valdavia, Alcobendas, 28100",40.5402679,-3.6360995,"2 Calle del Marqués de la Valdavia, Alcobendas, 28100"
"Centro Comercial Plaza Norte 2, Pl. del Comercio, 11-12, 28703 San Sebastián de los Reyes, Madrid",40.4874106,-3.6995661,"Centro Comercial Plaza Norte 2, Pl. del Comercio, 11-12, 28703 San Sebastián de los Reyes, Madrid"
"26 Calle de la Hiedra, Chamartín, Madrid, 28036",40.4722906,-3.6789958,"26 Calle de la Hiedra, Chamartín, Madrid, 28036"
"Indra, Av. de Bruselas, 35, 28108 Alcobendas, Madrid",40.5291704,-3.641435,"Indra, Av. de Bruselas, 35, 28108 Alcobendas, Madrid"
"REICOMSA MECANICA (C/ ARAGONESES 18), ALCOBENDAS, 28108",40.5228747,-3.6616608,"REICOMSA MECANICA (C/ ARAGONESES 18), ALCOBENDAS, 28108"
"34 P.º de Europa, San Sebastián de los Reyes, 28702",40.5587534,-3.6125102,"34 P.º de Europa, San Sebastián de los Reyes, 28702"
"OUIGO ESPAÑA, Calle de Alfonso XII,  Madrid,  España",40.4129702,-3.6887606,"OUIGO ESPAÑA, Calle de Alfonso XII,  Madrid,  España"
"22 Avda de la Transición Española, Alcobendas, 28108",40.5345557,-3.6212702,"22 Avda de la Transición Española, Alcobendas, 28108"
"1 C. de Perdiguera, Alcobendas, 28108",40.5309347,-3.6593756,"1 C. de Perdiguera, Alcobendas, 28108"
"Paseo del Conde de los Gaitanes, Alcobendas, 28109",40.5143265,-3.6458876,"Paseo del Conde de los Gaitanes, Alcobendas, 28109"
"Ouigo Can Tunis, Carretera Antiga del Prat, L'Hospitalet de Llobregat, 08908",41.3598601,2.0997927,"Ouigo Can Tunis, Carretera Antiga del Prat, L'Hospitalet de Llobregat, 08908"
"PFIZER (Empresa) AVENIDA DE EUROPA  Nº20-B, Alcobendas, 28108",40.5141229,-3.6581441,"PFIZER (Empresa) AVENIDA DE EUROPA  Nº20-B, Alcobendas, 28108"
"23 Avenida de Bruselas, Alcobendas, 28108",40.5294996,-3.6422633,"23 Avenida de Bruselas, Alcobendas, 28108"
"- B&B (Hotel) CALLE DE LUIS PASTEUR S/N, San Sebastián de los Reyes, 28703",40.5473698,-3.6260586,"- B&B (Hotel) CALLE DE LUIS PASTEUR S/N, San Sebastián de los Reyes, 28703"
